,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
424,MSI 크로스헤어 17 B12UGSZ 64GB램,"2,060,000",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/300nit/주사율:360Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:140W/VRAM:8GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:240W/충전단자:DC/,두께:27.2mm/무게:2.8kg/ 색상: 블랙,
425,한성컴퓨터 TFG7275T,"1,258,990",노트북,미포함(프리도스),43.94cm(17.3인치)/1920x1080(FHD)/300nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050 Ti/TGP:75W/VRAM:4GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:53.35Wh/어댑터:150W/충전단자:DC/,두께:28mm/무게:2.6kg/ 색상: 블랙,
426,레노버 씽크패드 T15 Gen2 20W4S0SC00,"1,690,000",노트북,윈도우10 프로,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,인텔/코어i7-11세대/i7-1165G7 (2.8GHz)/쿼드(4)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,외장그래픽 /MX450/VRAM:2GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.0/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,지문 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/침수지연키보드/ㅗ형 방향키/숫자 키패드(4열)/,배터리:57Wh/어댑터:65W/충전단자:타입C/,두께:19.1mm/무게:1.79kg/ 색상: 블랙,
427,MSI Stealth 17 Studio A13VF-i9 4K 32GB램,"2,790,000",노트북,미포함(프리도스),43.9cm(17.3인치)/3840x2160(4K UHD)/500nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
428,MSI 써밋 E13 Flip Evo A12MT W11 화이트,"1,770,170",2 in 1,윈도우11홈,34.03cm(13.4인치)/1920x1200(WUXGA)/500nit/주사율:120Hz/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,얼굴 인식/지문 인식/TPM/ 웹캠OFF 지원 /고속충전/전용 펜 지원/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:70Wh/어댑터:65W/충전단자:타입C/,두께:14.9mm/무게:1.35kg/ 색상: 화이트,
429,Razer Blade 15 Advanced 12Gen R3080Ti 4K,"4,360,000",노트북,윈도우11홈,39.62cm(15.6인치)/3840x2160(4K UHD)/주사율:144Hz/,인텔/코어i9-12세대/i9-12900H (2.5GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3080 Ti/TGP:100W/VRAM:16GB/,M.2(NVMe)/1TB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:80Wh/어댑터:230W/충전단자:전용포트/,두께:16.99mm/무게:2.01kg/ 쿨링팬: 2개 / 색상: 블랙,
430,MSI GF시리즈 Sword GF66 B12VGK 64GB램,"2,110,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:105W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 쿨링팬: 2개 / 색상: 블랙,
431,레노버 V15 Gen3 ABA 82TV002YKR,"637,000",노트북,윈도우11홈,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,AMD/라이젠5-4세대/5625U (2.3GHz)/헥사(6)코어/,DDR4/램 용량:4GB/3200MHz/ 램 교체: 가능(1슬롯) /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/256GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,ㅡ형 방향키/숫자 키패드(4열)/,배터리:45Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 그레이,
432,MSI GE시리즈 레이더 GE66 12UGS-i9 QHD,"2,890,000",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,인텔/코어i9-12세대/i9-12900H (2.5GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:99.9Wh/어댑터:280W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블루,
433,MSI GP시리즈 Vector GP66 12UGS WIN11 32GB램,"2,302,990",노트북,윈도우11(설치),39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:280W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 색상: 블랙,
434,MSI 크리에이터 M16 B12VE WIN11 32GB램,"1,810,000",노트북,윈도우11(설치),40.6cm(16인치)/1920x1200(WUXGA)/350nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,지문 인식/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:200W/충전단자:DC/,두께:23.95mm/무게:2.26kg/ 쿨링팬: 2개 / 색상: 블랙,
435,MSI 사이보그 15 A12VF-i5 WIN11 16GB램,"1,369,000",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:120W/충전단자:DC/,두께:22.9mm/무게:1.98kg/ 색상: 블랙,
436,MSI GP시리즈 Vector GP77 13VG-i9 QHD 64GB램,"3,047,900",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
437,MSI GF시리즈 Sword GF66 B13VEK,"1,671,730",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 쿨링팬: 2개 / 색상: 블랙,
438,Razer Blade 14 R9 Zen3 R3080 QHD,"3,008,810",노트북,윈도우10,35.56cm(14인치)/2560x1440(QHD)/주사율:165Hz/,AMD/라이젠9-4세대/5900HX (3.3GHz)/옥타(8)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 불가능 /,외장그래픽 /RTX3080/TGP:100W/VRAM:8GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(HD)/,USB-C: 지원 /,얼굴 인식/TPM/USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:61.6Wh/어댑터:230W/충전단자:전용포트/,두께:16.8mm/무게:1.78kg/ 색상: 블랙,
439,MSI GE시리즈 Raider GE78 HX 13VG-i9 QHD WIN11 32GB램,"3,460,000",노트북,윈도우11(설치),43.1cm(17인치)/2560x1600(WQXGA)/400nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 2개 / USB-A: 2개 / SD카드 /,얼굴 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:280W/충전단자:전용포트/,두께:23mm/무게:3.1kg/ 쿨링팬: 2개 / 색상: 블랙,
440,MSI 크리에이터 M16 B12VE WIN11,"1,720,000",노트북,윈도우11(설치),40.6cm(16인치)/1920x1200(WUXGA)/350nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,지문 인식/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:200W/충전단자:DC/,두께:23.95mm/무게:2.26kg/ 쿨링팬: 2개 / 색상: 블랙,
441,MSI GF시리즈 Thin GF63 12VE-i7 WIN11 64GB램,"1,538,370",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:52.4Wh/어댑터:120W/충전단자:DC/,두께:21.7mm/무게:1.77kg/ 색상: 블랙,
442,한성컴퓨터 TFX7240PW,"1,097,990",노트북,윈도우11홈,43.94cm(17.3인치)/1920x1080(FHD)/300nit/,인텔/코어i5-12세대/i5-1240P (1.7GHz)/12코어(4P+8E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,USB-PD/DP Alt Mode/ 리프트 힌지 /,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:73Wh/어댑터:90W/충전단자:DC/,두께:22mm/무게:2kg/ 쿨링팬: 1개 / 색상: 블랙,
443,MSI 모던시리즈 모던 15 B13M-i7,"982,950",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/,인텔/코어i7-13세대/i7-1355U (1.7GHz)/10코어(2P+8E)/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 블랙,
444,MSI 모던시리즈 모던 15 B7M-R5,"694,380",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/,AMD/라이젠5(Zen3)/ 7530U (2.0Hz) /헥사(6)코어/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.75kg/ 색상: 블랙,
445,한성컴퓨터 올데이롱 TFX4270H 8GB램,"1,120,000",노트북,미포함(프리도스),35.56cm(14인치)/1920x1200(WUXGA)/300nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/500GB/저장 슬롯:1개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:99.8Wh/어댑터:90W/충전단자:DC/,두께:16mm/무게:1.2kg/ 쿨링팬: 2개 / 색상: 블랙,
446,에이서 프레데터 트리톤500se PT516-52s-7822,"2,098,990",노트북,윈도우11홈,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /RTX3070 Ti/TGP:115W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / SD카드 /,지문 인식/,RGB 라이트/ㅗ형 방향키/,배터리:99.98Wh/어댑터:230W/충전단자:DC/,두께:19.9mm/무게:2.4kg/ 쿨링팬: 3개 / 색상: 그레이,
447,MSI GS시리즈 Stealth GS77 12UGS QHD,"2,612,860",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:105W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 색상: 블랙,
448,MSI GF시리즈 Sword GF66 A12UE 화이트 WIN11,"1,604,790",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 화이트,
449,MSI GF시리즈 Sword GF66 B13VEK 64GB램,"1,881,050",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 쿨링팬: 2개 / 색상: 블랙,
450,한성컴퓨터 TFG7275 8GB램,"1,188,000",노트북,미포함(프리도스),43.94cm(17.3인치)/1920x1080(FHD)/300nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:75W/VRAM:4GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:53.35Wh/어댑터:150W/충전단자:DC/,두께:28mm/무게:2.6kg/ 색상: 블랙,
451,MSI GP시리즈 Vector GP66 12UEO QHD OLED 64GB램,"1,740,000",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:240W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
452,MSI 크리에이터 M16 A12UC 32GB램,"1,498,990",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/500nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:32GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,지문 인식/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:23.95mm/무게:2.26kg/ 색상: 블랙,
453,MSI 크리에이터 M16 A12UC WIN10,"1,489,990",노트북,윈도우10,40.6cm(16인치)/2560x1600(WQXGA)/500nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,지문 인식/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:23.95mm/무게:2.26kg/ 색상: 블랙,
454,MSI GF시리즈 Sword GF66 A12UC 화이트 WIN11,"1,272,150",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 화이트,
455,Razer Blade 18 13Gen R4060 QHD,"4,290,000",노트북,윈도우11홈,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:91.7Wh/어댑터:280W/충전단자:전용포트/,두께:21.99mm/무게:3.2kg/ 쿨링팬: 3개 / 색상: 블랙,
456,레노버 V15 Gen3 ABA 82TV0031KR,"660,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/,AMD/라이젠3-4세대/5425U (2.7GHz)/쿼드(4)코어/,DDR4/램 용량:4GB/3200MHz/ 램 교체: 가능(1슬롯) /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/256GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,ㅡ형 방향키/숫자 키패드(4열)/,배터리:45Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 그레이,
457,HP 250 G9 6N224PC 32GB램,"1,030,330",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/,인텔/코어i7-12세대/i7-1255U (1.7GHz)/10코어(2P+8E)/,DDR4/램 용량:32GB/ 램 교체: 가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 / SD카드 /,TPM/고속충전/MIL-STD/,ㅡ형 방향키/숫자 키패드(4열)/,배터리:41Wh/어댑터:45W/충전단자:DC/,두께:19.9mm/무게:1.74kg/ 쿨링팬: 1개 / 색상: 실버,
