id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
188,MSI,Pulse 15 B13VGK QHD,90.00,https://img.danawa.com/prod_img/500000/134/410/img/19410134_1.jpg?shrink=130:130&_v=20230504091723,인텔 코어i9-13세대 i9-13950HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/,1000,M.2(NVMe)/1TB/,2.35,2874040
189,한성컴퓨터,Bossmonster GTX63 T9X6Q16W,57.00,https://img.danawa.com/prod_img/500000/367/922/img/12922367_1.jpg?shrink=130:130&_v=20210104111213,인텔 코어i5-11세대 i5-1135G7 (2.4GHz) 쿼드(4)코어,16,DDR4/램 용량:16GB/3200MHz/,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,외장그래픽 /MX450/VRAM:2GB/,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.69,782000
190,MSI,사이보그 15 A12VF WIN11,90.00,https://img.danawa.com/prod_img/500000/551/356/img/19356551_1.jpg?shrink=130:130&_v=20230314175523,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/,2.30,2226400
191,레노버,요가 Slim7 Carbon 13IRP8 83AY002KKR,73.00,https://img.danawa.com/prod_img/500000/674/209/img/19209674_1.jpg?shrink=130:130&_v=20230420165745,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.50,1948000
192,MSI,사이보그 15 A12VF WIN11 16GB램,53.50,https://img.danawa.com/prod_img/500000/633/424/img/19424633_1.jpg?shrink=130:130&_v=20230320104155,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1293910
193,레노버,V15 Gen2 82KD000VKR,50.00,https://img.danawa.com/prod_img/500000/145/582/img/19582145_1.jpg?shrink=130:130&_v=20230601092200,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,13.3,33.78cm(13.3인치)/2560x1600(WQXGA)/400nit/주사율:90Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,0.97,1640000
194,Razer,Blade 16 13Gen R4080 QHD,53.50,https://img.danawa.com/prod_img/500000/654/424/img/19424654_1.jpg?shrink=130:130&_v=20230427092141,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1287470
195,Razer,Blade 14 R9 Zen4 R3070Ti QHD,38.00,https://img.danawa.com/prod_img/500000/703/726/img/13726703_1.jpg?shrink=130:130&_v=20220621104624,AMD 라이젠7-4세대 5700U (1.8GHz) 옥타(8)코어,8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/250nit/,내장그래픽 / Radeon Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.70,559000
196,레노버,아이디어패드 Slim5-15ITL Premiere Plus i5,95.20,https://img.danawa.com/prod_img/500000/106/261/img/19261106_1.jpg?shrink=130:130&_v=20230417143013,인텔 코어i9-13세대 i9-13950HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/5600MHz/ 램 교체: 가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.45,5290000
197,MSI,모던시리즈 모던 14 C7M-R5 WIN10,61.60,https://img.danawa.com/prod_img/500000/039/922/img/16922039_1.jpg?shrink=130:130&_v=20230417144620,AMD 라이젠9-5세대 6900HX (3.3GHz) 옥타(8)코어,16,DDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2560x1440(QHD)/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:100W/VRAM:8GB/,1000,M.2(NVMe)/1TB/,1.78,2690000
