제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
MSI,프레스티지 15 A12UC,65.00,https://img.danawa.com/prod_img/500000/977/053/img/19053977_1.jpg?shrink=130:130&_v=20230309090937,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,2811560
MSI,GF시리즈 Thin GF63 12VE,70.00,https://img.danawa.com/prod_img/500000/858/549/img/17549858_1.jpg?shrink=130:130&_v=20221223080703,AMD 라이젠7-5세대 6800HS (3.2GHz) 옥타(8)코어,32,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
MSI,GP시리즈 Vector GP66 12UEO QHD OLED 32GB램,76.00,https://img.danawa.com/prod_img/500000/185/909/img/18909185_1.jpg?shrink=130:130&_v=20230209092904,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.66,2647890
삼성전자,갤럭시북2 프로 NT950XEW-A51A WIN10,38.00,https://img.danawa.com/prod_img/500000/222/381/img/17381222_1.jpg?shrink=130:130&_v=20230228085122,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.63,663630
MSI,사이보그 15 A12VF WIN11 32GB램,97.50,https://img.danawa.com/prod_img/500000/854/455/img/19455854_1.jpg?shrink=130:130&_v=20230601092451,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,2130000
MSI,GF시리즈 GF63 Thin 11UD-i5 16GB램,53.50,https://img.danawa.com/prod_img/500000/106/123/img/19123106_1.jpg?shrink=130:130&_v=20230223140253,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/3840x2160(4K UHD)/400nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.10,2252230
MSI,Stealth 17 Studio A13VH-i9 4K Mini LED W11,76.00,https://img.danawa.com/prod_img/500000/962/019/img/20019962_1.jpg?shrink=130:130&_v=20230516130554,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/2880x1800(WQXGA+)/500nit/주사율:120Hz/,외장그래픽 /RTX4050/TGP:50W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.55,1698990
삼성전자,갤럭시북3 NT750XFS-G51A,82.00,https://img.danawa.com/prod_img/500000/911/611/img/16611911_1.jpg?shrink=130:130&_v=20220404123619,인텔 코어i7-12세대 i7-1280P (1.8GHz)  14코어(6P+8E),16,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,외장그래픽 /RTX3050/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.69,1490000
한성컴퓨터,TFG5277XGW,52.40,https://img.danawa.com/prod_img/500000/879/169/img/19169879_1.jpg?shrink=130:130&_v=20230309090456,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1209970
삼성전자,갤럭시북2 NT550XEZ-A58A WIN11 16GB램,65.00,https://img.danawa.com/prod_img/500000/595/922/img/18922595_1.jpg?shrink=130:130&_v=20230302090912,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1462990
ASUS,젠북 14X OLED UX3404VA-M9093,68.00,https://img.danawa.com/prod_img/500000/634/819/img/16819634_1.jpg?shrink=130:130&_v=20220413152411,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.11,1348250
에이서,프레데터 Helios 16 PH16-71 4070,53.50,https://img.danawa.com/prod_img/500000/666/424/img/19424666_1.jpg?shrink=130:130&_v=20230406091221,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1445000
MSI,크로스헤어 17 B12UGSZ WIN11 64GB램,52.40,https://img.danawa.com/prod_img/500000/541/677/img/17677541_1.jpg?shrink=130:130&_v=20230511092408,인텔 코어i5-11세대 i5-11400H (2.7GHz) 헥사(6)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050 Ti/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,945630
